,x,y,time,theta
160.0,1076.16162109375,391.66387939453125,2.7457375526428223,-0.00373824691216762
161.0,1077.9310302734375,379.5685729980469,2.762251853942871,-0.012760114937484912
162.0,1079.2344970703125,370.3824462890625,2.7797679901123047,-0.019619924228025887
163.0,1079.157470703125,365.7156982421875,2.795780658721924,-0.02310740914012982
164.0,1078.3333740234375,362.5172424316406,2.81229567527771,-0.025498612148251276
165.0,1078.87744140625,353.31585693359375,2.8288087844848633,-0.032382058569116856
166.0,1079.4791259765625,351.9620666503906,2.8458237648010254,-0.03339535533357402
167.0,1078.583740234375,356.828125,2.8628382682800293,-0.02975381110507741
168.0,1081.5638427734375,362.02667236328125,2.879852771759033,-0.025865438112016415
169.0,1080.5916748046875,364.5528564453125,2.896367073059082,-0.023976671476326594
170.0,1081.715087890625,367.7962646484375,2.912881374359131,-0.021552380479569422
171.0,1081.2557373046875,372.0717468261719,2.9293956756591797,-0.018357923053685388
172.0,1079.5279541015625,382.7834167480469,2.945857286453247,-0.010361004366469528
173.0,1079.4052734375,389.6856994628906,2.962371587753296,-0.005212947294496284
174.0,1079.2908935546875,398.2136535644531,2.978886365890503,0.0011421774774388327
175.0,1077.405029296875,406.4064636230469,2.996400833129883,0.007241785187303118
176.0,1077.9202880859375,412.6878356933594,3.0119142532348633,0.011914420802467796
177.0,1077.890869140625,415.8402099609375,3.0289292335510254,0.01425814348617005
178.0,1078.105224609375,419.5,3.0454437732696533,0.01697802723222125
179.0,1078.5633544921875,421.37091064453125,3.06245756149292,0.018367995172884455
180.0,1078.016357421875,424.58355712890625,3.0789718627929688,0.020754063618317664
181.0,1077.4996337890625,423.4342956542969,3.095487117767334,0.01990059971469832
182.0,1078.2294921875,422.6899719238281,3.11218523979187,0.019347787723117016
183.0,1077.75732421875,419.6254577636719,3.129199266433716,0.01707124406811794
184.0,1078.5269775390625,415.9248962402344,3.145214080810547,0.014321093946406294
185.0,1077.2916259765625,411.66033935546875,3.1628570556640625,0.011150312309073263
